gid_B73	fam	fam_size	fam_idx	note1	note2	n_mu	mid	sids	gid_W22	map_type	impact	eff	TF45	n.tgt	m.drc	tf.type	eQTL_fc	eQTL_n	eQTL_grp_size	eQTL	B_Embryo	B_Endosperm	B_Internode	B_Leaf10	B_Root	B_Shoot	W_Embryo	W_Endosperm	W_Internode	W_Leaf10	W_Root	W_Shoot	max_W22_exp
Zm00001d028361	C2H2	132	75	C2H2-transcription factor 225	Protein SHOOT GRAVITROPISM 5	1	mu1084296	UFMu-10309	Zm00004b000903	One-to-One	no_change		FALSE	0							2.2	0	1.4	1.2	5.9	8.6	2.9	0	1	2.4	5.4	8	8
Zm00001d028526	GRAS	81	33	GRAS-transcription factor 61	Scarecrow-like protein 26	1	mu1013665	UFMu-02190	Zm00004b001046	One-to-One	moderate	missense_variant	FALSE	0							1.3	0	0	0.2	3.1	0.2	0.3	0	0	0	1.8	0.1	1.8
Zm00001d028879	bZIP	128	61	bZIP-transcription factor 24	Ocs element-binding factor 1	1	mu1043906	UFMu-05287	Zm00004b001319	One-to-One	no_change		FALSE	0							0	0	0	0	0.3	0	0	0	0	0	0.6	0.1	0.6
Zm00001d028962	WRKY	121	60	WRKY-transcription factor 32	WRKY55-superfamily of TFs having WRKY and zinc finger domains	1	mu1017554	UFMu-01180	Zm00004b001382	One-to-One	moderate	missense_variant	FALSE	0							3	0.1	8.5	6.6	15.7	7.4	3.8	0	20.2	4.1	17.9	17.3	4.1
Zm00001d028974	EIL	9	6	ethylene insensitive-like3	ethylene insensitive-like3	2	mu1040655|mu1076115	UFMu-04780|UFMu-09401	Zm00004b001393	One-to-One	moderate	missense_variant	FALSE	2	1	acti					16.9	27	249.9	105.9	103.7	45.3	36.5	14.2	188.7	132.9	115.2	51.8	51.8
Zm00001d028984	G2-like	61	30	G2-like-transcription factor 26	Myb-related protein 2	1	mu1019531	UFMu-01129	Zm00004b001400	One-to-One	moderate	missense_variant	FALSE	1	1	acti					4.5	2.2	48.7	56.8	24.2	18.9	5.8	1.3	45.7	80.9	24.8	20.9	80.9
Zm00001d029287	GeBP	20	10	GeBP-transcription factor 18	Probable transcription factor	2	mu1034607|mu1082923	UFMu-03204|UFMu-10409	Zm00004b001637	One-to-One	moderate	missense_variant	FALSE	29	1	acti					8.1	6	11.8	5.6	5.7	5.1	10.3	7.3	6.4	6.3	5.6	4.5	7.3
Zm00001d029402	bHLH	190	106	""	conserved peptide upstream open reading frame 37	1	mu1051903	UFMu-06852	Zm00004b001715	One-to-One	high	frameshift_variant	FALSE	0							15.5	2.5	7.9	10.1	41.4	21.7	12.5	3.7	4.6	9.2	32.4	16.4	9.2
Zm00001d029607	GRAS	81	36	GRAS-transcription factor 58	Protein SHORT-ROOT	1	mu1044474	UFMu-05769	Zm00004b001890	One-to-One	moderate	disruptive_inframe_deletion	FALSE	1	1	acti					2.4	0	1	1.9	6.6	6.8	2.5	0	0.2	0.8	5.4	5.6	5.6
Zm00001d029855	GRAS	81	37	GRAS-transcription factor 33	Scarecrow-like protein 6	3	mu1043872|mu1051928|mu1089307	UFMu-05113|UFMu-07105|UFMu-13149	Zm00004b002071	One-to-One	moderate	disruptive_inframe_insertion	FALSE	15	1	acti					4.5	0.1	22.3	9.4	18.7	5.6	3.1	0	25.7	11.1	18.2	4.6	4.6
Zm00001d029963	MYB_related	109	64	MYB-related-transcription factor 32	myb-like transcription factor family protein	1	mu1076168	UFMu-09083	Zm00004b002134	One-to-One	moderate	conservative_inframe_insertion	FALSE	2	0	mix	10.364546104360258	1	6	wang2018	22	0.9	163	98.6	120.1	82	8.9	0.3	257.9	175.8	135.2	51.3	8.9
Zm00001d029974	Trihelix	46	30	Trihelix-transcription factor 4	FRIGIDA interacting protein 2	2	mu1051939|mu1089321	UFMu-06564|UFMu-11379	Zm00004b002142	One-to-One	no_change		FALSE	0							14.6	8.7	13.6	8.1	9.4	8.3	18.6	11.9	19.2	7	11.1	8.2	8.2
Zm00001d030028	bHLH	190	107	myc transcription factor7	myc transcription factor7	2	mu1046801|mu1076170	UFMu-06525|UFMu-08917	Zm00004b002184	One-to-One	moderate	missense_variant	FALSE	25	1	acti	3.7634408602150535	1	5	wang2018	8.7	3.3	45.3	33	17.9	10	21.4	5.3	55.1	24	20.2	12.1	55.1
Zm00001d030069	HD-ZIP	60	35	outer cell layer4	Homeodomain leucine zipper family IV protein	1	mu1088509	UFMu-13448	Zm00004b002211	One-to-One	moderate	missense_variant	FALSE	21	1	acti					45.4	1.1	0.1	1.1	0.1	40.9	47	1.7	0.2	1.3	0.1	32.2	47
Zm00001d030617	bZIP	128	66	octopine synthase binding factor1	octopine synthase binding factor1	1	mu1046238	UFMu-06492	Zm00004b002566	One-to-One	moderate	missense_variant	FALSE	0							50.4	12.4	214.8	135.5	198.1	109.4	150.4	18.8	140.5	328.9	226	99.1	99.1
Zm00001d030744	GRAS	81	39	GRAS-transcription factor 3	""	5	mu1017977|mu1021088|mu1044229|mu1044230|mu1085356	UFMu-00699|UFMu-01447|UFMu-05508|UFMu-05698|UFMu-10840	Zm00004b002647	One-to-One	moderate	missense_variant	FALSE	0							9.6	2.7	25.5	18.6	31.5	6.8	16.8	4.2	15.2	7.9	27.4	8.1	8.1
Zm00001d030907	B3	45	26	ABI3-VP1-transcription factor 46	B3 domain-containing protein	1	mu1044148	UFMu-05250	Zm00004b002754	Many-to-Many	low	splice_region_variant	FALSE	2	0.33333333333333337	mix	11.92368839427663	1	6	wang2018	41.2	0.5	0.2	0.2	0.1	4.5	58.8	0.5	0.1	0.2	0.6	3	58.8
Zm00001d030908	B3	45	27	ABI3-VP1-transcription factor 9	B3 domain-containing protein	1	mu1046270	UFMu-06452,UFMu-10913	Zm00004b002754,Zm00004b002757	Many-to-Many,Many-to-One	no_change		FALSE	0			12.377662636729994	1	6	wang2018	0.2	0.1	0.1	0	0	0.1	0.4	0.3	0	0.1	0.5	0.3	0.5
Zm00001d030969	WRKY	121	63	WRKY-transcription factor 3	Probable WRKY transcription factor 74	1	mu1051525	UFMu-06718	Zm00004b002795	One-to-One	moderate	missense_variant	FALSE	0							1.9	1	15.2	3	4.4	3.6	3.7	1.5	3.7	4.2	4.5	2.7	4.5
Zm00001d031008	CPP	12	5	CPP-transcription factor 2	Protein tesmin/TSO1-like CXC 4	1	mu1044139	UFMu-05348	Zm00004b002821	One-to-One	modifier	intron_variant	FALSE	0							51.7	121.1	59.2	21.7	33.6	26.6	73.9	180.8	70.2	35.2	44	27.1	73.9
Zm00001d031064	ARF	36	21	ARF-transcription factor 34	Auxin response factor 6	2	mu1044130|mu1082149	UFMu-05308|UFMu-09463,UFMu-11255	Zm00004b002861	One-to-One	moderate	missense_variant	FALSE	6	0.8888888888888888	acti					49.9	13.1	45.4	19.9	32.2	51.1	35.5	4	38.1	25.4	34.8	44.7	44.7
Zm00001d031182	TALE	28	13	Homeobox-transcription factor 84	Homeobox-transcription factor 84	1	mu1088642	UFMu-11279	Zm00004b002945	One-to-One	moderate	missense_variant	FALSE	2	1	acti					0.3	0.1	146.6	55.2	50.5	35.1	0.3	0.1	113.5	114.8	61.2	29.3	61.2
Zm00001d031194	bZIP	128	68	bZIP-transcription factor 31	BZIP transcription factor family protein expressed;  protein	2	mu1088647|mu1088648	UFMu-12357|UFMu-12574	Zm00004b002954	One-to-One	moderate	conservative_inframe_insertion	FALSE	0							0.1	0	6	0.3	0.7	0.6	0	0	4.4	0.6	0.5	0.1	4.4
Zm00001d031266	Trihelix	46	32	Trihelix-transcription factor 8	Homeodomain-like superfamily protein	1	mu1045157	UFMu-05892	Zm00004b003017	One-to-One	moderate	disruptive_inframe_insertion	FALSE	7	1	acti					8.5	9.7	6.5	5.8	5.1	6.8	5.2	9.8	4.8	8.8	5	6.8	9.8
Zm00001d031441	bHLH	190	113	bHLH-transcription factor 112	Transcription factor bHLH130	1	mu1088671	UFMu-11355	Zm00004b003115	One-to-One	moderate	missense_variant	FALSE	0							40.5	7.5	1.1	13.3	69.2	45.8	37.4	21.5	0.4	15	59.3	61.8	61.8
Zm00001d031454	MYB_related	109	66	MYB-related-transcription factor 103	DNA-binding bromodomain-containing protein	1	mu1028466	UFMu-01129	Zm00004b003123	One-to-One	no_change		FALSE	1	1	acti					14	7.1	17.3	3	9.7	9.4	13.5	3.1	13.8	6.3	9.3	7.1	9.3
Zm00001d031561	bHLH	190	114	bHLH-transcription factor 81	Transcription factor bHLH62	4	mu1013344|mu1013344|mu1013345|mu1051569	UFMu-01867,UFMu-06867,UFMu-08143|UFMu-05788|UFMu-01838|UFMu-06867,UFMu-08143	Zm00004b003207	One-to-One	non-syntenic	disruptive_inframe_insertion	FALSE	0							0.7	16.2	29.2	24.2	22.5	14.7	0.7	43.5	29.1	48.1	25.3	13	48.1
Zm00001d031723	bZIP	128	71	bZIP-transcription factor 127	DNA binding protein	4	mu1024077|mu1046343|mu1075858|mu1080452	UFMu-11200|UFMu-05981|UFMu-08924|UFMu-09482	Zm00004b003313	One-to-One	high	splice_donor_variant	FALSE	0							15.5	22	8.8	8.7	13.1	18.6	28.9	36.9	15.8	12.7	19.1	22.1	36.9
Zm00001d031745	HD-ZIP	60	39	Homeobox-transcription factor 129	Homeobox-leucine zipper protein HAT3	2	mu1024534|mu1070702	UFMu-04471|UFMu-02456	Zm00004b003333	One-to-One	high	frameshift_variant	FALSE	0							1.5	0	0	1.1	1	1.7	1.1	0	0	2.3	0.5	2.1	2.3
Zm00001d031790	bZIP	128	72	bZIP-transcription factor 49	ABSCISIC ACID-INSENSITIVE 5-like protein 5	1	mu1075322	UFMu-05482	Zm00004b003360,Zm00004b003361	Many-to-One	moderate	missense_variant	FALSE	8	1	acti					31.1	5.7	17.5	6.2	20.1	12.5	21.3	3	11.1	12.4	20.6	10.4	3
Zm00001d032175	ZF-HD	21	12	ZF-HD-transcription factor 5	Zinc-finger homeodomain protein 8	1	mu1028399	UFMu-01587	Zm00004b003650	One-to-One	moderate	missense_variant	FALSE	0							11.1	2.5	0	1.5	0	2.4	35.2	12	0	0.1	0	2.7	35.2
Zm00001d032182	NAC	126	70	NAC-transcription factor 55	NAC (No Apical Meristem) domain transcriptional regulator superfamily protein	1	mu1075889	UFMu-09141	Zm00004b003660	One-to-One	moderate	disruptive_inframe_deletion	FALSE	0							0.3	0	0.3	0	0.2	0	0.1	0	0.5	0	0.1	0	0.5
Zm00001d032502	YABBY	14	11	yabby homolog10	C2C2-YABBY-transcription factor 12	1	mu1021684	UFMu-01714	Zm00004b003923	One-to-One	moderate	disruptive_inframe_deletion	FALSE	3	1	acti					64	0.1	0	0	0	3.4	95.4	0.1	0	0	0	2.9	95.4
Zm00001d032681	HD-ZIP	60	41	Homeobox-transcription factor 69	Homeobox-leucine zipper protein REVOLUTA	3	mu1002244|mu1044892|mu1055099	UFMu-00431|UFMu-05411|UFMu-07572	Zm00004b004069	One-to-One	high	stop_gained	FALSE	0							16.2	114.2	43.7	39	24	30.5	17.6	96.9	5.7	26.1	20.2	44.4	96.9
Zm00001d032683	ARF	36	23	ARF-transcription factor 2	Auxin response factor 16	2	mu1029573|mu1055101	UFMu-02826,UFMu-03766|UFMu-07612	Zm00004b004070	One-to-One	moderate	missense_variant	FALSE	0							49	20	101.8	18.4	19.5	18.6	25.2	12.4	59.6	12.6	17.7	20.3	59.6
Zm00001d032923	HSF	29	19	HSF-transcription factor 24	Heat stress transcription factor A-6b	1	mu1065831	UFMu-08727	Zm00004b004268	One-to-One	modifier	5_prime_UTR_variant	TRUE	79	0.9915611814345991	acti					59.6	25	24.3	74.7	56.4	110.5	385.6	148.4	461	92.8	79.9	76.9	92.8
Zm00001d033215	NF-YA	13	11	CCAAT-HAP2-transcription factor 26	CCAAT-HAP2-transcription factor 26	1	mu1021085	UFMu-01431	Zm00004b004496	One-to-One	moderate	missense_variant	FALSE	2	1	acti					71.4	0.3	22.1	7.8	4.3	5.1	65.3	4.3	13	4.3	3.3	3.9	65.3
Zm00001d033291	WRKY	121	65	WRKY-transcription factor 102	Probable WRKY transcription factor 74	4	mu1040560|mu1040560|mu1073600|mu1088881	UFMu-04767,UFMu-05277|UFMu-09461,UFMu-11210,UFMu-12292|UFMu-04482,UFMu-08568,UFMu-08991|UFMu-11613	Zm00004b004569,Zm00004b004570	Many-to-One	moderate	missense_variant	FALSE	0							54.9	30	159.3	36.1	64.8	59.4	58.6	33.5	78.3	44.2	53.4	53.4	78.3
Zm00001d033379	TALE	28	15	knotted interacting protein1	Knotted1-interacting protein	1	mu1044349	UFMu-05560	Zm00004b004622	One-to-One	moderate	missense_variant	FALSE	0							1.7	0.4	0	0.1	0.2	3.7	1.5	0.1	0	1.5	0.1	3	3
Zm00001d033680	GRAS	81	42	dwarf plant8	dwarf plant8	2	mu1048354|mu1075988	UFMu-06414|UFMu-09282	Zm00004b004884	One-to-One	low	synonymous_variant	FALSE	83	1	acti					10.1	1.4	60.5	26	37.4	30.2	16.7	3.4	32.9	62.8	30.2	31.8	62.8
Zm00001d033834	GRAS	81	43	GRAS-transcription factor 65	Scarecrow-like protein 7	2	mu1037271|mu1065913	UFMu-04148|UFMu-08536	Zm00004b004978	One-to-One	moderate	missense_variant	FALSE	0							4.5	0.1	1.5	0.6	2.4	3.7	5.1	0.3	3.2	0.2	3.9	2.9	5.1
Zm00001d033859	TALE	28	17	knotted1	Homeotic protein knotted-1	1	mu1065920	UFMu-08591	Zm00004b005000	One-to-One	low	synonymous_variant	FALSE	3	1	acti					37.3	0.1	66.6	0	0	16.6	16.6	0.1	152.4	0.1	0.1	8.5	8.5
Zm00001d033876	GRF	15	11	GRF-transcription factor 1	Growth-regulating factor 2	3	mu1008064|mu1060319|mu1088963	UFMu-00206|UFMu-07904|UFMu-12609	Zm00004b005015	One-to-One	moderate	missense_variant	FALSE	184	0.9963768115942029	acti					198.4	2	5.3	7.4	49.3	66.4	181.2	0.7	0.1	7	51.6	56.5	7
Zm00001d033945	GATA	36	22	C2C2-GATA-transcription factor 34	Diphosphomevalonate decarboxylase MVD2	3	mu1018699|mu1018699|mu1080972	UFMu-00601|UFMu-09501|UFMu-09420	Zm00004b005070	One-to-One	moderate	missense_variant	FALSE	0			45.81673306772908	1	10	wang2018	93.4	4.4	69	8.2	26.6	28.4	200.7	2	77.1	16.8	37.2	32.4	77.1
Zm00001d033965	WRKY	121	67	WRKY-transcription factor 107	Protein WRKY1	2	mu1055196|mu1085538	UFMu-07286|UFMu-10595	Zm00004b005079	One-to-One	moderate	missense_variant	FALSE	0			118.70503597122301	1	12	wang2018	13.6	5.8	23.2	2.4	21.8	10.7	10.3	2.7	20.4	5.2	38.9	6.6	6.6
Zm00001d034033	MYB_related	109	70	histone acetyltransferase complex component102	Transcriptional adapter ADA2b	1	mu1046558	UFMu-06512	Zm00004b005138,Zm00004b005139	Many-to-One	low	synonymous_variant	FALSE	0							93.2	54.6	82.1	43.1	79.7	62.9	92.1	64.2	66.6	57.6	83.1	53.4	92.1
Zm00001d034091	bHLH	190	129	""	Transcription factor bHLH113	1	mu1035200	UFMu-03169	Zm00004b005193	One-to-One	moderate	missense_variant	FALSE	0			233.6769759450172	1	17	wang2018	1.6	0	0.1	0.5	0.8	0.5	0.3	0	0	0	0.5	0.2	0.5
Zm00001d034204	AP2	28	18	AP2-EREBP-transcription factor 184	AP2-like ethylene-responsive transcription factor ANT	3	mu1013582|mu1019591|mu1032670	UFMu-02257|UFMu-00826|UFMu-02693	Zm00004b005266	One-to-One	moderate	missense_variant	FALSE	10	1	acti					13.6	0	0	0	0	3.6	8.2	0.2	0	0	0	4.1	8.2
Zm00001d034282	FAR1	14	10	FAR1-like-transcription factor 2	Protein FAR1-RELATED SEQUENCE 5	1	mu1051751	UFMu-06757	Zm00004b005308	One-to-One	moderate	missense_variant	FALSE	3	1	acti					17.7	24.6	43.7	33.4	43.9	31.3	29.8	38.4	48.7	34.5	42.9	23.5	48.7
Zm00001d034298	bHLH	190	130	bHLH-transcription factor 47	Transcription factor PIF4	1	mu1089017	UFMu-13990	Zm00004b005312	One-to-One	high	splice_acceptor_variant	FALSE	1	0.5	mix					11.7	0.2	15.6	126.7	1.8	183.8	4.2	0.1	39.6	81.5	1.3	83	83
Zm00001d034353	TCP	42	27	TCP-transcription factor 5	Transcription factor TCP2	1	mu1080540	UFMu-09650	Zm00004b005351	One-to-One	moderate	missense_variant	FALSE	0							4.8	2	0	3	0.3	3.1	5.8	5.1	0	3.6	1.4	3.9	5.8
Zm00001d034503	bHLH	190	131	bHLH-transcription factor 17	Protein SPATULA	1	mu1023322	UFMu-02263	Zm00004b005471	One-to-One	moderate	missense_variant	FALSE	2	1	acti					48.1	27.6	22.2	12.7	24	23.3	31.4	13.6	15.1	13.1	20	19.6	31.4
Zm00001d034601	NAC	126	72	NAC-transcription factor 49	NAC domain-containing protein 67; NAC1 transcription factor; SNAC1	1	mu1007556	UFMu-00183	Zm00004b005560	One-to-One	moderate	missense_variant	FALSE	72	1	acti					35	31.3	62.4	59.9	50.7	42.9	121.5	26.6	341.3	30.8	60.6	78.6	78.6
Zm00001d034605	ERF	177	112	AP2-EREBP-transcription factor 159	Ethylene-responsive transcription factor ERF118	2	mu1032179|mu1079196	UFMu-02864|UFMu-08925	Zm00004b005563	One-to-One	moderate	missense_variant	FALSE	2	0	mix					24.4	11.3	26.7	9.3	14.9	14.1	10.9	9.3	22.4	12.4	16.9	12.1	9.3
Zm00001d034751	GATA	36	23	C2C2-GATA-transcription factor 18	GATA transcription factor 16	1	mu1080562	UFMu-09529	Zm00004b005691	One-to-One	no_change		FALSE	45	0.9555555555555556	acti					104.7	39.9	35.1	12.6	36.1	47.2	78	56.5	28.7	29.5	38.1	43.7	78
Zm00001d035295	GeBP	20	14	GeBP-transcription factor 13	protein; Tyrosine specific protein phosphatase-like	2	mu1057356|mu1068050	UFMu-07149|UFMu-08694	Zm00004b028558	One-to-One	high	start_lost	FALSE	1	1	acti					7.3	1.8	3	2.7	5.1	3.3	4.3	2.2	0.2	0.4	2.9	0.7	4.3
Zm00001d035470	MYB_related	109	74	MYB-related-transcription factor 63	Putative MYB DNA-binding domain superfamily protein	1	mu1060525	UFMu-07940	Zm00004b028615	One-to-One	high	frameshift_variant	FALSE	0			352.3820895522388	1	11	liu2017	76.5	85.1	179.4	80.6	96.5	93.4	82.9	96.7	144.4	103.5	104.2	76.7	96.7
Zm00001d035701	C2H2	132	95	C2H2-transcription factor 24	WREBP-2 protein	1	mu1034810	UFMu-03287	Zm00004b028790	One-to-One	moderate	disruptive_inframe_insertion	FALSE	0							34.7	20.7	26.5	11.5	18.9	19.6	35.5	22.8	28.2	19.2	26	23.6	35.5
Zm00001d035921	B3	45	34	""	B3 domain-containing protein	2	mu1015713|mu1060550	UFMu-01432|UFMu-07704	Zm00004b028927	One-to-Many	no_change		FALSE	0							0	0	0	0	0	0	0	0	0	0	0	0	0
Zm00001d035922	B3	45	35	ABI3-VP1-transcription factor 50	Pentatricopeptide repeat-containing protein  chloroplastic	1	mu1068090	UFMu-08670	Zm00004b028927,Zm00004b028928	Many-to-Many,Many-to-One	no_change		FALSE	0			254.67494824016563	1	11	liu2017	5.5	6.4	10.2	34.9	14.5	11.7	5.5	7.1	16.5	24.9	14.7	12.9	7.1
Zm00001d035965	GRF	15	12	GRF-transcription factor 7	Growth-regulating factor 6	1	mu1015717	UFMu-01877	Zm00004b028955	One-to-One	moderate	missense_variant	FALSE	1	1	acti	298.3783783783784	1	9	liu2017	7.8	1	4.9	4.3	6.9	12	4.8	0.3	4.4	4.1	6.3	9.5	9.5
Zm00001d036330	C2H2	132	97	""	C2H2-type zinc finger family protein	1	mu1049061	UFMu-06492	Zm00004b029190	One-to-One	low	synonymous_variant	FALSE	0							0	0	0	0	0	0	0	0	0	0	0	0	0
Zm00001d036356	MYB_related	109	75	MYB-related-transcription factor 98	terminal acidic SANT 1	2	mu1068120|mu1070436	UFMu-04186,UFMu-08301|UFMu-02945	Zm00004b029205	One-to-One	high	frameshift_variant	FALSE	0							48.9	32.2	19.2	11.1	20.1	22.8	23.5	11	10.8	8.8	13.5	13.4	8.8
Zm00001d036400	bZIP	128	79	bZIP-transcription factor 106	Basic leucine zipper 19	1	mu1049064	UFMu-06472	Zm00004b029234	One-to-One	no_change		FALSE	0							11.6	7.4	15.8	10.3	11.8	7.9	20.1	9.1	25.5	16.9	15.5	13.3	9.1
Zm00001d036425	MIKC_MADS	42	29	silky1	Silky1	1	mu1015745	UFMu-01828	Zm00004b029254	One-to-One	modifier	intron_variant	FALSE	0							0.6	10.3	0.1	0	0.2	1.5	0.8	50.3	0.4	0	0.8	1.3	50.3
Zm00001d036426	SRS	9	7	SHI/STY (SRS)-transcription factor 5	Protein SHI RELATED SEQUENCE 1	1	mu1042606	UFMu-04988	Zm00004b029255	One-to-One	high	stop_gained	FALSE	3	1	acti					25.4	0	0	0	3.2	2.7	15.9	0	0	0	4.7	1.8	4.7
Zm00001d036536	ERF	177	118	AP2-EREBP-transcription factor 19	Ethylene-responsive transcription factor 7	1	mu1069716	UFMu-08693	Zm00004b029327	One-to-One	moderate	missense_variant	FALSE	0			6.042387805914861	1	20	li2013	4.1	1.8	4.7	2.1	4	3.5	2.9	1.4	2.1	3.1	2.7	2.7	3.1
Zm00001d036594	C3H	55	37	""	30-kDa cleavage and polyadenylation specificity factor 30	1	mu1092569	UFMu-12455	Zm00004b029370	One-to-One	modifier	intron_variant	FALSE	0							10.4	6.2	13.8	6.7	6.1	4.2	8.9	4.3	9.6	9	6.2	4.3	9.6
Zm00001d036632	MYB_related	109	76	MYB-related-transcription factor 77	Protein REVEILLE 6	1	mu1045663	UFMu-05735	Zm00004b029397	One-to-One	no_change		FALSE	0			5.663828889045241	1	18	li2013	28.5	8.7	43.9	24	21.5	22.7	26.7	9.7	46.1	32.3	26.3	26.2	9.7
Zm00001d036807	bHLH	190	134	bHLH-transcription factor 142	Putative HLH DNA-binding domain superfamily protein	1	mu1092599	UFMu-11934	Zm00004b029529	One-to-One	no_change		FALSE	0							5.3	1.3	0.4	0.2	1.9	9.4	5.4	0.5	0.2	1	1.8	12.5	5.4
Zm00001d036812	C2H2	132	98	""	Zinc finger protein WIP2	1	mu1021264	UFMu-01464	Zm00004b029532	One-to-One	modifier	intron_variant	FALSE	0							2.7	5.4	5.3	5.5	4.8	2.8	0.5	0	4.1	0.8	0.3	1.1	4.1
Zm00001d037015	G2-like	61	43	G2-like-transcription factor 33	Putative MYB DNA-binding domain superfamily protein	1	mu1048801	UFMu-06091	Zm00004b029688	One-to-One	moderate	missense_variant	FALSE	1	1	acti					0.4	0	0	3.4	8.5	1	0	0	0	0.5	5.8	0.3	5.8
Zm00001d037317	bZIP	128	82	fasciated ear4	Transcription factor PERIANTHIA	1	mu1032146	UFMu-02510	Zm00004b029935	One-to-One	non-syntenic		FALSE	0							2	0	0	0	0.3	0.6	1.9	0	0	0	0.5	0.6	1.9
Zm00001d037461	CPP	12	8	CPP-transcription factor 12	Protein tesmin/TSO1-like CXC 5	1	mu1092221	UFMu-12342	Zm00004b030021	One-to-One	moderate	missense_variant	FALSE	0							7.1	2.8	10.3	9.2	10.1	7.9	7.9	1.4	9.1	9.7	9.6	5	9.7
Zm00001d037528	bHLH	190	136	bHLH-transcription factor 123	Transcription factor bHLH51	1	mu1060381	UFMu-07962	Zm00004b030070	One-to-One	no_change		FALSE	0							0.1	0	0.2	0.2	0.1	0.7	0	0	0.1	0.6	0.2	1	1
Zm00001d037737	MIKC_MADS	42	31	Zea AGAMOUS homolog1	ZAG1 protein; Zea AGAMOUS-like protein	2	mu1074020|mu1077985	UFMu-04803|UFMu-09139	Zm00004b030241	One-to-One	moderate	missense_variant	FALSE	1	1	acti					0.2	0.3	0.1	0.1	0	0.2	0	0.4	0	1	0	0.3	1
Zm00001d037769	C3H	55	39	C3H-transcription factor 339	Zinc finger CCCH domain-containing protein 23	2	mu1041482|mu1067932	UFMu-04596|UFMu-08565	Zm00004b030269	One-to-One	no_change		FALSE	38	0.9473684210526315	acti					6.7	0.1	130	27.1	3.9	0.4	17.4	0.4	326.5	58.8	27.5	2.4	58.8
Zm00001d038087	AP2	28	21	dwarf & irregular leaf1	dwarf & irregular leaf1	1	mu1095127	UFMu-11360	Zm00004b030505	One-to-One	non-syntenic	missense_variant	FALSE	4	1	acti					46	5.1	15.3	9.7	32.8	53.3	58.3	2.9	8.5	8.1	19.6	33.7	8.5
Zm00001d038189	bZIP	128	84	bZIP-transcription factor 34	FAD/NAD(P)-binding oxidoreductase family protein	1	mu1042700	UFMu-04988	Zm00004b030580,Zm00004b030582,Zm00004b030583	Many-to-One	moderate	missense_variant	FALSE	0							29.3	38.8	68.7	172.5	33.4	70.8	25.3	37.2	47.4	152.9	40.8	83.1	83.1
Zm00001d038311	bZIP	128	86	bZIP-transcription factor 101	G-box-binding factor 4	1	mu1060431	UFMu-08038	Zm00004b030670	One-to-One	moderate	missense_variant	FALSE	2	1	acti					10.5	15.1	9.5	6.3	9.9	5.1	17.9	25.8	8.5	6.6	15.5	6.9	8.5
Zm00001d038355	TALE	28	22	Homeobox-transcription factor 76	BEL1-like homeodomain protein 9	1	mu1092306	UFMu-13099	Zm00004b030707	One-to-One	moderate	disruptive_inframe_insertion	FALSE	1	1	acti					12.2	0.1	33.4	0.4	1.6	9.5	14.4	0.1	24.4	5.4	2.5	9.5	9.5
Zm00001d038357	bHLH	190	138	bHLH-transcription factor 118	Transcription factor bHLH104	1	mu1039284	UFMu-04161	Zm00004b030708	One-to-One	moderate	disruptive_inframe_insertion	FALSE	0							6.3	48.8	73.1	38.2	78	68.1	15.1	59	122.3	54.8	137.6	62.8	62.8
Zm00001d038379	C2H2	132	100	""	Zinc finger protein ZAT11	1	mu1029691	UFMu-02873	Zm00004b030735	One-to-One	moderate	missense_variant	FALSE	0							0	0	0.6	0	0	0	0	0	0	0	0.1	0	0.1
Zm00001d038451	WRKY	121	78	WRKY-transcription factor 57	Putative WRKY DNA-binding domain superfamily protein	1	mu1061063	UFMu-08215	Zm00004b030791	One-to-One	moderate	disruptive_inframe_deletion	FALSE	11	1	acti					0.2	0	2.9	0	3.1	1.4	0	0	0.7	0.1	1.7	0.4	1.7
Zm00001d038518	GRAS	81	50	GRAS-transcription factor 56	Protein SCARECROW	1	mu1092323	UFMu-13808	Zm00004b030848	One-to-One	moderate	disruptive_inframe_insertion	FALSE	0							0	0	0	0	0	0	0	0.1	0	0	0	0	0.1
Zm00001d038660	CPP	12	9	CPP-transcription factor 4	Protein tesmin/TSO1-like CXC 4	2	mu1045576|mu1045576	UFMu-05707|UFMu-13987	Zm00004b030954	One-to-One	high	frameshift_variant	FALSE	0							16.4	11.8	18.9	7	10.1	8.7	15.5	9.8	16.7	9.1	13.1	8.6	9.8
Zm00001d038704	VOZ	5	3	VOZ-transcription factor 2	Transcription factor VOZ1	1	mu1045581	UFMu-05922	Zm00004b030992	One-to-One	moderate	missense_variant	FALSE	0							36.7	24.4	62.8	22.9	42	26.9	49.2	40.7	56.9	33.2	47.7	25.7	56.9
Zm00001d038843	WRKY	121	80	WRKY-transcription factor 82	Putative WRKY DNA-binding domain superfamily protein	1	mu1081611	UFMu-09469	Zm00004b031112	One-to-One	moderate	disruptive_inframe_deletion	FALSE	64	0.9895833333333334	acti					0.2	0.1	35.5	2	9.7	5.7	0.1	0	90.8	1.1	7.3	4.3	90.8
Zm00001d038846				protein phosphatase homolog12	Protein phosphatase 2C 16	6	mu1029949|mu1068009|mu1082547|mu1082547|mu1083891|mu1085039	UFMu-02921,UFMu-06508|UFMu-08481|UFMu-09481|UFMu-10707|UFMu-10392|UFMu-10376	Zm00004b031116	One-to-One	moderate	missense_variant	TRUE	0							7.6	3.7	69.3	16.5	24.3	11.9	7	1.6	148.3	36.2	66.5	13	7
